date_time,c_ip,cs_method,cs_uri_stem,sc_status,sc_bytes,time_taken,actual_country,product_name,is_lead,is_hire,is_conversion,lead_score,campaign_source,device_type,industry_sector,session_quality,deal_value_usd,city,city_lat,city_lon
2026-01-05 11:34:00,41.220.203.207,GET,/api/ai_assistant,200,8064,148,Zimbabwe,CyberNova AI Assistant,False,False,False,4,Partner Referral,Desktop,Healthcare,Fast,0,Bulawayo,-20.149,28.5867
2026-01-22 21:12:00,197.242.228.250,GET,/home,200,7092,994,South Africa,Landing Page,False,False,False,1,Google Ads,Mobile,Healthcare,Good,0,Cape Town,-33.9249,18.4241
2026-02-22 14:46:00,102.129.41.70,GET,/api/ai_assistant,200,5419,450,South Africa,CyberNova AI Assistant,False,False,False,4,Partner Referral,Tablet,Government,Fast,0,Johannesburg,-26.2041,28.0473
2026-02-03 12:02:00,196.216.114.180,GET,/home,200,1916,1384,Botswana,Landing Page,False,False,False,1,LinkedIn,Desktop,Government,Good,0,Gaborone,-24.6282,25.9231
2026-01-29 08:53:00,154.250.197.33,GET,/jobs/submit_placement,200,8833,759,Zimbabwe,Digital Careers,False,True,True,2,Organic Search,Mobile,Education,Good,0,Bulawayo,-20.149,28.5867
2026-01-17 16:03:00,196.216.65.16,GET,/home,200,3699,1713,Botswana,Landing Page,False,False,False,1,Direct,Tablet,Education,Slow,0,Francistown,-21.17,27.511
2026-02-01 23:10:00,168.167.168.128,GET,/home,404,4526,1313,Botswana,Landing Page,False,False,False,1,Partner Referral,Desktop,SME,Good,0,Francistown,-21.17,27.511
2026-02-13 21:43:00,196.216.180.201,GET,/jobs/submit_placement,200,8135,165,Botswana,Digital Careers,False,True,True,2,Partner Referral,Mobile,Government,Fast,0,Gaborone,-24.6282,25.9231
2026-01-19 04:53:00,155.255.74.148,GET,/home,200,5360,1976,Botswana,Landing Page,False,False,False,1,Organic Search,Mobile,Government,Slow,0,Francistown,-21.17,27.511
2026-02-10 06:13:00,196.216.108.33,GET,/home,200,3382,1278,Botswana,Landing Page,False,False,False,1,Google Ads,Desktop,SME,Good,0,Gaborone,-24.6282,25.9231
2026-01-13 03:40:00,197.188.166.64,GET,/api/ai_assistant,200,4473,1045,Namibia,CyberNova AI Assistant,False,False,False,4,Google Ads,Mobile,SME,Good,0,Windhoek,-22.5609,17.0658
2026-02-21 16:13:00,41.13.252.168,GET,/jobs/submit_placement,200,1941,574,South Africa,Digital Careers,False,True,True,2,Direct,Mobile,Finance,Good,0,Cape Town,-33.9249,18.4241
2026-01-10 19:24:00,168.167.251.164,GET,/api/ai_assistant,200,6017,1121,Botswana,CyberNova AI Assistant,False,False,False,4,LinkedIn,Mobile,Finance,Good,0,Francistown,-21.17,27.511
2026-02-27 06:42:00,196.216.221.24,GET,/jobs/submit_placement,200,6104,191,Botswana,Digital Careers,False,True,True,2,Partner Referral,Mobile,SME,Fast,0,Francistown,-21.17,27.511
2026-02-23 10:06:00,197.242.95.8,GET,/demos/schedule_demo,200,4399,1305,South Africa,Discovery Call,True,False,True,5,Google Ads,Mobile,Healthcare,Good,55289,Durban,-29.8587,31.0218
2026-01-02 10:46:00,41.220.112.110,GET,/api/ai_assistant,200,1565,277,Zimbabwe,CyberNova AI Assistant,False,False,False,4,Organic Search,Desktop,Finance,Fast,0,Mutare,-18.9707,32.6709
2026-02-16 16:59:00,41.13.243.215,GET,/home,200,2574,1624,South Africa,Landing Page,False,False,False,1,LinkedIn,Mobile,SME,Slow,0,Cape Town,-33.9249,18.4241
2026-01-27 13:51:00,197.188.116.60,GET,/home,200,3332,1382,Namibia,Landing Page,False,False,False,1,Organic Search,Mobile,Finance,Good,0,Walvis Bay,-22.9575,14.5053
2026-01-07 11:34:00,168.167.211.179,GET,/home,200,6012,813,Botswana,Landing Page,False,False,False,1,Partner Referral,Desktop,Government,Good,0,Gaborone,-24.6282,25.9231
2026-01-02 03:26:00,197.242.36.7,GET,/home,200,2989,578,South Africa,Landing Page,False,False,False,1,LinkedIn,Mobile,Healthcare,Good,0,Durban,-29.8587,31.0218
2026-01-19 07:01:00,41.13.206.113,GET,/home,200,7455,1528,South Africa,Landing Page,False,False,False,1,Partner Referral,Desktop,Government,Slow,0,Cape Town,-33.9249,18.4241
2026-02-05 23:47:00,155.255.55.124,GET,/home,200,6538,1077,Botswana,Landing Page,False,False,False,1,Google Ads,Mobile,Government,Good,0,Maun,-19.9833,23.4167
2026-01-10 01:25:00,196.216.88.198,GET,/home,200,7210,265,Botswana,Landing Page,False,False,False,1,Direct,Mobile,Education,Fast,0,Maun,-19.9833,23.4167
2026-02-28 17:04:00,197.188.93.173,GET,/home,200,7531,950,Namibia,Landing Page,False,False,False,1,Partner Referral,Mobile,Finance,Good,0,Walvis Bay,-22.9575,14.5053
2026-02-13 03:07:00,41.13.176.84,GET,/solutions/threat_monitor,200,4517,1031,South Africa,Threat Monitor Pro,False,False,False,3,Partner Referral,Desktop,Finance,Good,0,Durban,-29.8587,31.0218
2026-01-25 16:23:00,197.242.179.244,GET,/home,200,6944,1545,South Africa,Landing Page,False,False,False,1,Organic Search,Mobile,Education,Slow,0,Johannesburg,-26.2041,28.0473
2026-02-01 14:55:00,196.216.25.72,GET,/solutions/threat_monitor,200,8579,708,Botswana,Threat Monitor Pro,False,False,False,3,Google Ads,Desktop,SME,Good,0,Gaborone,-24.6282,25.9231
2026-02-04 04:16:00,196.216.23.60,GET,/home,200,4432,544,Botswana,Landing Page,False,False,False,1,Organic Search,Mobile,Finance,Good,0,Francistown,-21.17,27.511
2026-02-06 20:00:00,196.216.86.205,GET,/home,200,3618,353,Botswana,Landing Page,False,False,False,1,Organic Search,Desktop,SME,Fast,0,Francistown,-21.17,27.511
2026-02-20 05:21:00,197.242.111.32,GET,/events/promotional_event,200,8392,1947,South Africa,Events & Webinars,False,False,False,2,LinkedIn,Desktop,SME,Slow,0,Johannesburg,-26.2041,28.0473
2026-02-21 07:25:00,155.255.41.12,GET,/home,200,4072,170,Botswana,Landing Page,False,False,False,1,LinkedIn,Mobile,Government,Fast,0,Maun,-19.9833,23.4167
2026-02-28 05:32:00,168.167.245.16,GET,/home,200,4570,1818,Botswana,Landing Page,False,False,False,1,Direct,Desktop,SME,Slow,0,Gaborone,-24.6282,25.9231
2026-01-26 00:01:00,155.255.105.189,GET,/home,200,4815,1424,Botswana,Landing Page,False,False,False,1,Organic Search,Mobile,Healthcare,Good,0,Maun,-19.9833,23.4167
2026-01-16 15:46:00,155.255.90.3,GET,/api/ai_assistant,200,2002,1275,Botswana,CyberNova AI Assistant,False,False,False,4,Google Ads,Mobile,Government,Good,0,Gaborone,-24.6282,25.9231
2026-02-24 19:21:00,196.216.25.69,GET,/home,200,6691,1741,Botswana,Landing Page,False,False,False,1,Google Ads,Mobile,Education,Slow,0,Francistown,-21.17,27.511
2026-02-22 09:24:00,155.255.241.87,GET,/demos/schedule_demo,200,7316,1322,Botswana,Discovery Call,True,False,True,5,Organic Search,Desktop,SME,Good,39450,Maun,-19.9833,23.4167
2026-01-28 14:04:00,102.129.91.24,GET,/home,200,3301,1727,South Africa,Landing Page,False,False,False,1,Organic Search,Tablet,Education,Slow,0,Cape Town,-33.9249,18.4241
2026-02-27 22:27:00,154.250.127.251,GET,/home,200,7354,214,Zimbabwe,Landing Page,False,False,False,1,Google Ads,Mobile,Finance,Fast,0,Mutare,-18.9707,32.6709
2026-01-26 23:14:00,41.220.4.228,GET,/solutions/threat_monitor,404,5303,1089,Zimbabwe,Threat Monitor Pro,False,False,False,3,Organic Search,Desktop,Government,Good,0,Mutare,-18.9707,32.6709
2026-01-20 19:32:00,196.216.171.113,GET,/demos/schedule_demo,200,4849,247,Botswana,Discovery Call,True,False,True,5,LinkedIn,Desktop,Healthcare,Fast,35558,Maun,-19.9833,23.4167
2026-01-11 17:48:00,196.44.242.229,GET,/home,200,3969,1121,Namibia,Landing Page,False,False,False,1,Google Ads,Mobile,Education,Good,0,Swakopmund,-22.678,14.545
2026-02-16 04:08:00,155.255.73.76,GET,/jobs/submit_placement,200,5257,1077,Botswana,Digital Careers,False,True,True,2,Partner Referral,Desktop,Government,Good,0,Maun,-19.9833,23.4167
